Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,89665,65,NIFTY,NIFTY26JUN29P39000,26-JUN-2029,OPTIDX,PE,39000,0.05,
NFO,89664,65,NIFTY,NIFTY26JUN29C39000,26-JUN-2029,OPTIDX,CE,39000,0.05,
NFO,89655,65,NIFTY,NIFTY26JUN29P36000,26-JUN-2029,OPTIDX,PE,36000,0.05,
NFO,89654,65,NIFTY,NIFTY26JUN29C36000,26-JUN-2029,OPTIDX,CE,36000,0.05,
NFO,89649,65,NIFTY,NIFTY26JUN29P33000,26-JUN-2029,OPTIDX,PE,33000,0.05,
NFO,89648,65,NIFTY,NIFTY26JUN29C33000,26-JUN-2029,OPTIDX,CE,33000,0.05,
NFO,89643,65,NIFTY,NIFTY26JUN29P30000,26-JUN-2029,OPTIDX,PE,30000,0.05,
NFO,89642,65,NIFTY,NIFTY26JUN29C30000,26-JUN-2029,OPTIDX,CE,30000,0.05,
NFO,89637,65,NIFTY,NIFTY26JUN29P27000,26-JUN-2029,OPTIDX,PE,27000,0.05,
NFO,89636,65,NIFTY,NIFTY26JUN29C27000,26-JUN-2029,OPTIDX,CE,27000,0.05,
NFO,89635,65,NIFTY,NIFTY26JUN29P26000,26-JUN-2029,OPTIDX,PE,26000,0.05,
NFO,89631,65,NIFTY,NIFTY26JUN29P24000,26-JUN-2029,OPTIDX,PE,24000,0.05,
NFO,89630,65,NIFTY,NIFTY26JUN29C24000,26-JUN-2029,OPTIDX,CE,24000,0.05,
NFO,89625,65,NIFTY,NIFTY26JUN29P21000,26-JUN-2029,OPTIDX,PE,21000,0.05,
NFO,89624,65,NIFTY,NIFTY26JUN29C21000,26-JUN-2029,OPTIDX,CE,21000,0.05,
NFO,89613,65,NIFTY,NIFTY26JUN29P18000,26-JUN-2029,OPTIDX,PE,18000,0.05,
NFO,89612,65,NIFTY,NIFTY26JUN29C18000,26-JUN-2029,OPTIDX,CE,18000,0.05,
NFO,89607,65,NIFTY,NIFTY26JUN29P15000,26-JUN-2029,OPTIDX,PE,15000,0.05,
NFO,89606,65,NIFTY,NIFTY26JUN29C15000,26-JUN-2029,OPTIDX,CE,15000,0.05,
NFO,89601,65,NIFTY,NIFTY26JUN29P12000,26-JUN-2029,OPTIDX,PE,12000,0.05,
NFO,89589,65,NIFTY,NIFTY26JUN29C12000,26-JUN-2029,OPTIDX,CE,12000,0.05,
NFO,86164,65,NIFTY,NIFTY27JUN28P27000,27-JUN-2028,OPTIDX,PE,27000,0.05,
NFO,86163,65,NIFTY,NIFTY27JUN28C27000,27-JUN-2028,OPTIDX,CE,27000,0.05,
NFO,86152,65,NIFTY,NIFTY27JUN28P24000,27-JUN-2028,OPTIDX,PE,24000,0.05,
NFO,86151,65,NIFTY,NIFTY27JUN28C24000,27-JUN-2028,OPTIDX,CE,24000,0.05,
NFO,86148,65,NIFTY,NIFTY27JUN28P22000,27-JUN-2028,OPTIDX,PE,22000,0.05,
NFO,86146,65,NIFTY,NIFTY27JUN28P21000,27-JUN-2028,OPTIDX,PE,21000,0.05,
NFO,86145,65,NIFTY,NIFTY27JUN28C21000,27-JUN-2028,OPTIDX,CE,21000,0.05,
NFO,86140,65,NIFTY,NIFTY27JUN28P18000,27-JUN-2028,OPTIDX,PE,18000,0.05,
NFO,86139,65,NIFTY,NIFTY27JUN28C18000,27-JUN-2028,OPTIDX,CE,18000,0.05,
NFO,86134,65,NIFTY,NIFTY27JUN28P15000,27-JUN-2028,OPTIDX,PE,15000,0.05,
NFO,86133,65,NIFTY,NIFTY27JUN28C15000,27-JUN-2028,OPTIDX,CE,15000,0.05,
NFO,86128,65,NIFTY,NIFTY27JUN28P12000,27-JUN-2028,OPTIDX,PE,12000,0.05,
NFO,86127,65,NIFTY,NIFTY27JUN28C12000,27-JUN-2028,OPTIDX,CE,12000,0.05,
NFO,80332,65,NIFTY,NIFTY30MAR27P45000,30-MAR-2027,OPTIDX,PE,45000,0.05,
NFO,80331,65,NIFTY,NIFTY30MAR27C45000,30-MAR-2027,OPTIDX,CE,45000,0.05,
NFO,80330,65,NIFTY,NIFTY30MAR27P43500,30-MAR-2027,OPTIDX,PE,43500,0.05,
NFO,80329,65,NIFTY,NIFTY30MAR27C43500,30-MAR-2027,OPTIDX,CE,43500,0.05,
NFO,80328,65,NIFTY,NIFTY30MAR27P42000,30-MAR-2027,OPTIDX,PE,42000,0.05,
NFO,80327,65,NIFTY,NIFTY30MAR27C42000,30-MAR-2027,OPTIDX,CE,42000,0.05,
NFO,80326,65,NIFTY,NIFTY30MAR27P40500,30-MAR-2027,OPTIDX,PE,40500,0.05,
NFO,80325,65,NIFTY,NIFTY30MAR27C40500,30-MAR-2027,OPTIDX,CE,40500,0.05,
NFO,80324,65,NIFTY,NIFTY30MAR27P39000,30-MAR-2027,OPTIDX,PE,39000,0.05,
NFO,80323,65,NIFTY,NIFTY30MAR27C39000,30-MAR-2027,OPTIDX,CE,39000,0.05,
NFO,80322,65,NIFTY,NIFTY30MAR27P37500,30-MAR-2027,OPTIDX,PE,37500,0.05,
NFO,80319,65,NIFTY,NIFTY30MAR27C37500,30-MAR-2027,OPTIDX,CE,37500,0.05,
NFO,80318,65,NIFTY,NIFTY30MAR27P36000,30-MAR-2027,OPTIDX,PE,36000,0.05,
NFO,80317,65,NIFTY,NIFTY30MAR27C36000,30-MAR-2027,OPTIDX,CE,36000,0.05,
NFO,80316,65,NIFTY,NIFTY30MAR27P34500,30-MAR-2027,OPTIDX,PE,34500,0.05,
NFO,80315,65,NIFTY,NIFTY30MAR27C34500,30-MAR-2027,OPTIDX,CE,34500,0.05,
NFO,80314,65,NIFTY,NIFTY30MAR27P33000,30-MAR-2027,OPTIDX,PE,33000,0.05,
NFO,80313,65,NIFTY,NIFTY30MAR27C33000,30-MAR-2027,OPTIDX,CE,33000,0.05,
NFO,80312,65,NIFTY,NIFTY30MAR27P31500,30-MAR-2027,OPTIDX,PE,31500,0.05,
NFO,80311,65,NIFTY,NIFTY30MAR27C31500,30-MAR-2027,OPTIDX,CE,31500,0.05,
NFO,80310,65,NIFTY,NIFTY30MAR27P30000,30-MAR-2027,OPTIDX,PE,30000,0.05,
NFO,80307,65,NIFTY,NIFTY30MAR27C30000,30-MAR-2027,OPTIDX,CE,30000,0.05,
NFO,80306,65,NIFTY,NIFTY30MAR27P28500,30-MAR-2027,OPTIDX,PE,28500,0.05,
NFO,80278,65,NIFTY,NIFTY30MAR27C28500,30-MAR-2027,OPTIDX,CE,28500,0.05,
NFO,80277,65,NIFTY,NIFTY30MAR27P27000,30-MAR-2027,OPTIDX,PE,27000,0.05,
NFO,80276,65,NIFTY,NIFTY30MAR27C27000,30-MAR-2027,OPTIDX,CE,27000,0.05,
NFO,80275,65,NIFTY,NIFTY30MAR27P25500,30-MAR-2027,OPTIDX,PE,25500,0.05,
NFO,80274,65,NIFTY,NIFTY30MAR27C25500,30-MAR-2027,OPTIDX,CE,25500,0.05,
NFO,80273,65,NIFTY,NIFTY30MAR27P24000,30-MAR-2027,OPTIDX,PE,24000,0.05,
NFO,80272,65,NIFTY,NIFTY30MAR27C24000,30-MAR-2027,OPTIDX,CE,24000,0.05,
NFO,80271,65,NIFTY,NIFTY30MAR27P22500,30-MAR-2027,OPTIDX,PE,22500,0.05,
NFO,80270,65,NIFTY,NIFTY30MAR27C22500,30-MAR-2027,OPTIDX,CE,22500,0.05,
NFO,80269,65,NIFTY,NIFTY30MAR27P21000,30-MAR-2027,OPTIDX,PE,21000,0.05,
NFO,80268,65,NIFTY,NIFTY30MAR27C21000,30-MAR-2027,OPTIDX,CE,21000,0.05,
NFO,80267,65,NIFTY,NIFTY30MAR27P19500,30-MAR-2027,OPTIDX,PE,19500,0.05,
NFO,80249,65,NIFTY,NIFTY30MAR27C19500,30-MAR-2027,OPTIDX,CE,19500,0.05,
NFO,80248,65,NIFTY,NIFTY30MAR27P18000,30-MAR-2027,OPTIDX,PE,18000,0.05,
NFO,80192,65,NIFTY,NIFTY30MAR27C18000,30-MAR-2027,OPTIDX,CE,18000,0.05,
NFO,80191,65,NIFTY,NIFTY30MAR27P16500,30-MAR-2027,OPTIDX,PE,16500,0.05,
NFO,80190,65,NIFTY,NIFTY30MAR27C16500,30-MAR-2027,OPTIDX,CE,16500,0.05,
NFO,80189,65,NIFTY,NIFTY30MAR27P15000,30-MAR-2027,OPTIDX,PE,15000,0.05,
NFO,80188,65,NIFTY,NIFTY30MAR27C15000,30-MAR-2027,OPTIDX,CE,15000,0.05,
NFO,80187,65,NIFTY,NIFTY30MAR27P13500,30-MAR-2027,OPTIDX,PE,13500,0.05,
NFO,80186,65,NIFTY,NIFTY30MAR27C13500,30-MAR-2027,OPTIDX,CE,13500,0.05,
NFO,80185,65,NIFTY,NIFTY30MAR27P12000,30-MAR-2027,OPTIDX,PE,12000,0.05,
NFO,80184,65,NIFTY,NIFTY30MAR27C12000,30-MAR-2027,OPTIDX,CE,12000,0.05,
NFO,80183,65,NIFTY,NIFTY30MAR27P10500,30-MAR-2027,OPTIDX,PE,10500,0.05,
NFO,80182,65,NIFTY,NIFTY30MAR27C10500,30-MAR-2027,OPTIDX,CE,10500,0.05,
